CellType,Real_Score,P_Value
l6_ct_sig,0.019174138503262272,0.001
pericyte_sig,0.009615091502371453,0.008
oligo_sig,0.008134399052301095,0.02
microglia_sig,0.018051897308896794,0.089
endothelial_sig,0.006638941488182911,0.129
l2_3_it_sig,0.005103089235813969,0.171
l5_it_sig,0.0010388589194005808,0.241
pvalb_expr,0.00748786337163554,0.386
pvalb_sig,0.00748786337163554,0.386
gad_sig,-0.0019140357333156078,0.568
l6_it_sig,0.0032182368888036667,0.58
lamp5_sig,0.012453819706725749,0.596
opc_sig,-0.002058115264258,0.788
sst_expr,-0.017285096557518927,0.853
sst_sig,-0.017285096557518927,0.853
astro_sig,-0.0054976930941029265,0.914
l4_it_sig,-0.024596038874142506,0.968
vip_sig,-0.008126964299278784,0.993
